_id,userId,skillName,proficiency,isVerified
6612388dc478ba97b06a7045,6612382ec478ba97b06a6c5d,Angular,Excellent,True
6612388dc478ba97b06a7046,6612382ec478ba97b06a6c5d,AWS Lambda,Amateur,True
6612388dc478ba97b06a7047,6612382ec478ba97b06a6c5d,ADF,Beginner,True
6612388dc478ba97b06a7048,6612382ec478ba97b06a6c5e,Angular,Excellent,True
6612388dc478ba97b06a7049,6612382ec478ba97b06a6c5e,Javascript,Beginner,True
6612388dc478ba97b06a704a,6612382ec478ba97b06a6c5e,Snowflake,Beginner,True
6612388dc478ba97b06a704b,6612382ec478ba97b06a6c5f,Alteryx,Beginner,True
6612388dc478ba97b06a704c,6612382ec478ba97b06a6c5f,Python,Amateur,True
6612388dc478ba97b06a704d,6612382ec478ba97b06a6c5f,PHP,Excellent,True
6612388dc478ba97b06a704e,6612382ec478ba97b06a6c60,SQL,Amateur,True
6612388dc478ba97b06a704f,6612382ec478ba97b06a6c60,Alteryx,Amateur,True
6612388dc478ba97b06a7050,6612382ec478ba97b06a6c60,Snowflake,Beginner,True
6612388dc478ba97b06a7051,6612382ec478ba97b06a6c61,Power BI,Excellent,True
6612388dc478ba97b06a7052,6612382ec478ba97b06a6c61,AWS Lambda,Excellent,True
6612388dc478ba97b06a7053,6612382ec478ba97b06a6c61,Angular,Excellent,True
6612388dc478ba97b06a7054,6612382ec478ba97b06a6c62,Power BI,Excellent,True
6612388dc478ba97b06a7055,6612382ec478ba97b06a6c62,ADF,Amateur,True
6612388dc478ba97b06a7056,6612382ec478ba97b06a6c62,Alteryx,Beginner,True
6612388dc478ba97b06a7057,6612382ec478ba97b06a6c63,AWS Lambda,Beginner,True
6612388dc478ba97b06a7058,6612382ec478ba97b06a6c63,Angular,Beginner,True
6612388dc478ba97b06a7059,6612382ec478ba97b06a6c63,Alteryx,Excellent,True
6612388dc478ba97b06a705a,6612382ec478ba97b06a6c64,Alteryx,Excellent,True
6612388dc478ba97b06a705b,6612382ec478ba97b06a6c64,Python,Beginner,True
6612388dc478ba97b06a705c,6612382ec478ba97b06a6c64,React,Excellent,True
6612388dc478ba97b06a705d,6612382ec478ba97b06a6c65,PHP,Amateur,True
6612388dc478ba97b06a705e,6612382ec478ba97b06a6c65,React,Excellent,True
6612388dc478ba97b06a705f,6612382ec478ba97b06a6c65,SQL,Excellent,True
6612388dc478ba97b06a7060,6612382ec478ba97b06a6c66,AWS Lambda,Excellent,True
6612388dc478ba97b06a7061,6612382ec478ba97b06a6c66,React Native,Beginner,True
6612388dc478ba97b06a7062,6612382ec478ba97b06a6c66,PHP,Amateur,True
6612388dc478ba97b06a7063,6612382fc478ba97b06a6c67,Snowflake,Excellent,True
6612388dc478ba97b06a7064,6612382fc478ba97b06a6c67,React,Beginner,True
6612388dc478ba97b06a7065,6612382fc478ba97b06a6c67,PHP,Amateur,True
6612388dc478ba97b06a7066,6612382fc478ba97b06a6c68,Angular,Amateur,True
6612388dc478ba97b06a7067,6612382fc478ba97b06a6c68,PHP,Amateur,True
6612388dc478ba97b06a7068,6612382fc478ba97b06a6c68,Python,Beginner,True
6612388dc478ba97b06a7069,6612382fc478ba97b06a6c69,Snowflake,Beginner,True
6612388dc478ba97b06a706a,6612382fc478ba97b06a6c69,Power BI,Excellent,True
6612388dc478ba97b06a706b,6612382fc478ba97b06a6c69,Python,Amateur,True
6612388dc478ba97b06a706c,6612382fc478ba97b06a6c6a,Python,Excellent,True
6612388dc478ba97b06a706d,6612382fc478ba97b06a6c6a,React Native,Beginner,True
6612388dc478ba97b06a706e,6612382fc478ba97b06a6c6a,PHP,Amateur,True
6612388ec478ba97b06a706f,6612382fc478ba97b06a6c6b,PHP,Excellent,True
6612388ec478ba97b06a7070,6612382fc478ba97b06a6c6b,SQL,Beginner,True
6612388ec478ba97b06a7071,6612382fc478ba97b06a6c6b,Angular,Amateur,True
6612388ec478ba97b06a7072,6612382fc478ba97b06a6c6c,SQL,Excellent,True
6612388ec478ba97b06a7073,6612382fc478ba97b06a6c6c,Snowflake,Excellent,True
6612388ec478ba97b06a7074,6612382fc478ba97b06a6c6c,AWS Lambda,Amateur,True
6612388ec478ba97b06a7075,6612382fc478ba97b06a6c6d,React Native,Beginner,True
6612388ec478ba97b06a7076,6612382fc478ba97b06a6c6d,Angular,Beginner,True
6612388ec478ba97b06a7077,6612382fc478ba97b06a6c6d,Alteryx,Beginner,True
6612388ec478ba97b06a7078,6612382fc478ba97b06a6c6e,Python,Amateur,True
6612388ec478ba97b06a7079,6612382fc478ba97b06a6c6e,Alteryx,Excellent,True
6612388ec478ba97b06a707a,6612382fc478ba97b06a6c6e,Snowflake,Excellent,True
6612388ec478ba97b06a707b,6612382fc478ba97b06a6c6f,Alteryx,Excellent,True
6612388ec478ba97b06a707c,6612382fc478ba97b06a6c6f,Python,Beginner,True
6612388ec478ba97b06a707d,6612382fc478ba97b06a6c6f,ADF,Amateur,True
6612388ec478ba97b06a707e,6612382fc478ba97b06a6c70,ADF,Excellent,True
6612388ec478ba97b06a707f,6612382fc478ba97b06a6c70,Python,Beginner,True
6612388ec478ba97b06a7080,6612382fc478ba97b06a6c70,React,Excellent,True
6612388ec478ba97b06a7081,6612382fc478ba97b06a6c71,Angular,Amateur,True
6612388ec478ba97b06a7082,6612382fc478ba97b06a6c71,React,Amateur,True
6612388ec478ba97b06a7083,6612382fc478ba97b06a6c71,React Native,Excellent,True
6612388ec478ba97b06a7084,6612382fc478ba97b06a6c72,Javascript,Amateur,True
6612388ec478ba97b06a7085,6612382fc478ba97b06a6c72,React,Excellent,True
6612388ec478ba97b06a7086,6612382fc478ba97b06a6c72,Alteryx,Excellent,True
6612388ec478ba97b06a7087,6612382fc478ba97b06a6c73,React Native,Excellent,True
6612388ec478ba97b06a7088,6612382fc478ba97b06a6c73,Angular,Excellent,True
6612388ec478ba97b06a7089,6612382fc478ba97b06a6c73,Javascript,Excellent,True
6612388ec478ba97b06a708a,6612382fc478ba97b06a6c74,React,Excellent,True
6612388ec478ba97b06a708b,6612382fc478ba97b06a6c74,Python,Beginner,True
6612388ec478ba97b06a708c,6612382fc478ba97b06a6c74,PHP,Beginner,True
6612388ec478ba97b06a708d,6612382fc478ba97b06a6c75,Angular,Beginner,True
6612388ec478ba97b06a708e,6612382fc478ba97b06a6c75,Power BI,Beginner,True
6612388ec478ba97b06a708f,6612382fc478ba97b06a6c75,Javascript,Beginner,True
6612388ec478ba97b06a7090,6612382fc478ba97b06a6c76,Python,Beginner,True
6612388ec478ba97b06a7091,6612382fc478ba97b06a6c76,React Native,Excellent,True
6612388ec478ba97b06a7092,6612382fc478ba97b06a6c76,AWS Lambda,Beginner,True
6612388ec478ba97b06a7093,6612382fc478ba97b06a6c77,Alteryx,Amateur,True
6612388ec478ba97b06a7094,6612382fc478ba97b06a6c77,Snowflake,Beginner,True
6612388ec478ba97b06a7095,6612382fc478ba97b06a6c77,React Native,Beginner,True
6612388ec478ba97b06a7096,6612382fc478ba97b06a6c78,Alteryx,Beginner,True
6612388ec478ba97b06a7097,6612382fc478ba97b06a6c78,Javascript,Excellent,True
6612388ec478ba97b06a7098,6612382fc478ba97b06a6c78,React Native,Beginner,True
6612388ec478ba97b06a7099,6612382fc478ba97b06a6c79,AWS Lambda,Excellent,True
6612388ec478ba97b06a709a,6612382fc478ba97b06a6c79,PHP,Excellent,True
6612388ec478ba97b06a709b,6612382fc478ba97b06a6c79,Power BI,Excellent,True
6612388ec478ba97b06a709c,6612382fc478ba97b06a6c7a,React Native,Beginner,True
6612388ec478ba97b06a709d,6612382fc478ba97b06a6c7a,AWS Lambda,Beginner,True
6612388ec478ba97b06a709e,6612382fc478ba97b06a6c7a,React,Excellent,True
6612388ec478ba97b06a709f,6612382fc478ba97b06a6c7b,SQL,Beginner,True
6612388ec478ba97b06a70a0,6612382fc478ba97b06a6c7b,ADF,Beginner,True
6612388ec478ba97b06a70a1,6612382fc478ba97b06a6c7b,Alteryx,Beginner,True
6612388fc478ba97b06a70a2,66123830c478ba97b06a6c7c,Power BI,Amateur,True
6612388fc478ba97b06a70a3,66123830c478ba97b06a6c7c,Javascript,Beginner,True
6612388fc478ba97b06a70a4,66123830c478ba97b06a6c7c,React Native,Excellent,True
6612388fc478ba97b06a70a5,66123830c478ba97b06a6c7d,Snowflake,Excellent,True
6612388fc478ba97b06a70a6,66123830c478ba97b06a6c7d,SQL,Amateur,True
6612388fc478ba97b06a70a7,66123830c478ba97b06a6c7d,PHP,Beginner,True
6612388fc478ba97b06a70a8,66123830c478ba97b06a6c7e,AWS Lambda,Beginner,True
6612388fc478ba97b06a70a9,66123830c478ba97b06a6c7e,Alteryx,Excellent,True
6612388fc478ba97b06a70aa,66123830c478ba97b06a6c7e,PHP,Beginner,True
6612388fc478ba97b06a70ab,66123830c478ba97b06a6c7f,Snowflake,Beginner,True
6612388fc478ba97b06a70ac,66123830c478ba97b06a6c7f,SQL,Amateur,True
6612388fc478ba97b06a70ad,66123830c478ba97b06a6c7f,Alteryx,Beginner,True
6612388fc478ba97b06a70ae,66123830c478ba97b06a6c80,React,Beginner,True
6612388fc478ba97b06a70af,66123830c478ba97b06a6c80,PHP,Beginner,True
6612388fc478ba97b06a70b0,66123830c478ba97b06a6c80,Snowflake,Amateur,True
6612388fc478ba97b06a70b1,66123830c478ba97b06a6c81,ADF,Beginner,True
6612388fc478ba97b06a70b2,66123830c478ba97b06a6c81,SQL,Amateur,True
6612388fc478ba97b06a70b3,66123830c478ba97b06a6c81,PHP,Beginner,True
6612388fc478ba97b06a70b4,66123830c478ba97b06a6c82,Snowflake,Beginner,True
